payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
19/09/2025,45251,45251-DDI00053,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,201.42,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Switzerland,CARDSUCCESS,CARD PAYMENT : Ausstehende Phorest GebÃ¼hren,,2.0,nan,CPMT: 45251-45251-DDI00053,CPMT: 45251-45251-DDI00053-19/09/2025,STRIPE-TQB3LJJPOIL SP
21/09/2025,98638,98638-POA,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,390.0,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Switzerland,CARDSUCCESS,CARD PAYMENT :,,5.0,nan,CPMT: 98638-98638-POA,CPMT: 98638-98638-POA-21/09/2025,STRIPE-TQB3LJJPOIL SP
21/09/2025,53249,53249-POA,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,220.15,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Austria,CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,,2.0,nan,CPMT: 53249-53249-POA,CPMT: 53249-53249-POA-21/09/2025,STRIPE-TQB3LJJPOIL SP
22/09/2025,59520,59520-POA,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,79.0,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Austria,CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,,2.0,nan,CPMT: 59520-59520-POA,CPMT: 59520-59520-POA-22/09/2025,STRIPE-TQB3LJJPOIL SP
23/09/2025,87776,87776-POA,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,518.0,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Austria,CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,,2.0,nan,CPMT: 87776-87776-POA,CPMT: 87776-87776-POA-23/09/2025,STRIPE-TQB3LJJPOIL SP
26/09/2025,56995,56995-DDI00021,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,79.65,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Switzerland,CARDSUCCESS,CARD PAYMENT : Ausstehende Phorest GebÃ¼hren,,2.0,nan,CPMT: 56995-56995-DDI00021,CPMT: 56995-56995-DDI00021-26/09/2025,STRIPE-TQB3LJJPOIL SP
27/09/2025,79397,79397-POA,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,247.0,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Austria,CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,,2.0,nan,CPMT: 79397-79397-POA,CPMT: 79397-79397-POA-27/09/2025,STRIPE-TQB3LJJPOIL SP
27/09/2025,79398,79398-POA,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,247.0,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Austria,CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,,2.0,nan,CPMT: 79398-79398-POA,CPMT: 79398-79398-POA-27/09/2025,STRIPE-TQB3LJJPOIL SP
27/09/2025,79399,79399-POA,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,297.0,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Austria,CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,,2.0,nan,CPMT: 79399-79399-POA,CPMT: 79399-79399-POA-27/09/2025,STRIPE-TQB3LJJPOIL SP
01/10/2025,99655,99655-POA,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,290.0,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Switzerland,CARDSUCCESS,CARD PAYMENT :,5.0,2.0,ch_3SDR8fIdctIUMwHT08JuvXuW,CPMT: 99655-99655-POA,CPMT: 99655-99655-POA-01/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,58781,58781-DDI00037,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,214.39,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Austria,CARDSUCCESS,DDCARD PAYMENT:MESDDDO01OJNMCCIU3SPC,2.0,2.0,ch_3SIBsJIdctIUMwHT1HKOoUI1,CPMT: 58781-58781-DDI00037,CPMT: 58781-58781-DDI00037-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,12171,12171-DDI00164,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,83.65,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Germany,CARDSUCCESS,DDCARD PAYMENT:MESDDDKD4610IK8VHRT8W,2.0,2.0,ch_3SIBrEIdctIUMwHT0Kph0Il8,CPMT: 12171-12171-DDI00164,CPMT: 12171-12171-DDI00164-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,12216,12216-DDI00120,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,64.96,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Germany,CARDSUCCESS,DDCARD PAYMENT:MESDDDEA4XQ0H5Q2403OL,2.0,2.0,ch_3SIBrGIdctIUMwHT2sjfFWmI,CPMT: 12216-12216-DDI00120,CPMT: 12216-12216-DDI00120-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,18970,18970-DDI00140,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,327.01,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Germany,CARDSUCCESS,DDCARD PAYMENT:MESDDD72DKJ672223983G,2.0,2.0,ch_3SIBrJIdctIUMwHT2ZWqCuRh,CPMT: 18970-18970-DDI00140,CPMT: 18970-18970-DDI00140-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,29892,29892-DDI00068,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,137.56,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Germany,CARDSUCCESS,DDCARD PAYMENT:MESDDDO83877U8J0J34Y1,2.0,2.0,ch_3SIBrLIdctIUMwHT1JKh3vxo,CPMT: 29892-29892-DDI00068,CPMT: 29892-29892-DDI00068-14/10/2025,STRIPE-TQB3LJJPOIL SP
