payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
19/09/2025,3990,3990-DDI00314,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,362.16,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MES078331854256631920,,2.0,nan,CPMT: 3990-3990-DDI00314,CPMT: 3990-3990-DDI00314-19/09/2025,
19/09/2025,9787,9787-DDI00182,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,157.51,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MES184513393937443936,,2.0,nan,CPMT: 9787-9787-DDI00182,CPMT: 9787-9787-DDI00182-19/09/2025,
19/09/2025,61024,61024-DDI00027,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,121.77,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MES573431121967532135,,2.0,nan,CPMT: 61024-61024-DDI00027,CPMT: 61024-61024-DDI00027-19/09/2025,
22/09/2025,37103,37103-DDI00103,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,375.4,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),MANUAL,CASHBOOK,,2.0,nan,CPMT: 37103-37103-DDI00103,CPMT: 37103-37103-DDI00103-22/09/2025,
22/09/2025,37106,37106-DDI00102,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,238.85,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),MANUAL,CASHBOOK,,2.0,nan,CPMT: 37106-37106-DDI00102,CPMT: 37106-37106-DDI00102-22/09/2025,
22/09/2025,20825,20825-DDI00147,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,170.97,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),MANUAL,CASHBOOK,,2.0,nan,CPMT: 20825-20825-DDI00147,CPMT: 20825-20825-DDI00147-22/09/2025,
26/09/2025,31366,31366-DDI00114,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,772.49,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),MANUAL,CASHBOOK,,2.0,nan,CPMT: 31366-31366-DDI00114,CPMT: 31366-31366-DDI00114-26/09/2025,
29/09/2025,76539,76539-DDI00016,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,329.45,10010 Bank : BOI current a/c EUR # 17013705,Germany,CARDSUCCESS,CARD PAYMENT : Ausstehende Phorest GebÃ¼hren,2.0,2.0,ch_3SCfPzIdctIUMwHT0g5pUniV,CPMT: 76539-76539-DDI00016,CPMT: 76539-76539-DDI00016-29/09/2025,
02/10/2025,33296,33296-DDI00094,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,396.08,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,2.0,nan,CPMT: 33296-33296-DDI00094,CPMT: 33296-33296-DDI00094-02/10/2025,
14/10/2025,2058,2058-DDI00282,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,255.53,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD9R9D399T13K7117,2.0,2.0,ch_3SIASFIdctIUMwHT1qwWgO2q,CPMT: 2058-2058-DDI00282,CPMT: 2058-2058-DDI00282-14/10/2025,
