payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,location,transtype,comment,card_reference,reasoncode,sepaprovider,invoice_hash,payment_hash,memo,stripe_currency,stripe_converted_amount,is_aed
14/10/2025,62493,62493-DDI00027,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,44.33,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),SEPASUCCESS,SEPA PAYMENT:DDI00027,2.0,2.0,pi_3SGeRYIdctIUMwHT26zylm8L,nan,nan,,eur,238.5,False
14/10/2025,31235,31235-DDI00120,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,48.44,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),SEPASUCCESS,SEPA PAYMENT:DDI00120,2.0,2.0,pi_3SGdwAIdctIUMwHT0C1LwgPg,nan,nan,,eur,373.64,False
14/10/2025,2058,2058-DDI00282,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,168.92,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD9R9D399T13K7117,2.0,2.0,ch_3SIASFIdctIUMwHT1qwWgO2q,nan,nan,,eur,424.45,False
14/10/2025,9187,9187-DDI00204,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,96.89,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD8JS3G5HBV6F0M6I,2.0,2.0,ch_3SIASMIdctIUMwHT2u4nlk9B,nan,nan,,eur,548.95,False
14/10/2025,56267,56267-DDI00045,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,48.52,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),SEPASUCCESS,SEPA PAYMENT:DDI00045,2.0,2.0,pi_3SGeMKIdctIUMwHT1xP5iqlA,nan,nan,,eur,310.09,False
14/10/2025,43083,43083-DDI00083,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,88.66,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),SEPASUCCESS,SEPA PAYMENT:DDI00083,2.0,2.0,pi_3SGe66IdctIUMwHT2txOjD5M,nan,nan,,eur,372.53,False
14/10/2025,39604,39604-DDI00099,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,48.48,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),SEPASUCCESS,SEPA PAYMENT:DDI00099,2.0,2.0,pi_3SGe2WIdctIUMwHT136EW3TT,nan,nan,,eur,183.53,False
14/10/2025,14372,14372-DDI00148,Ndevor Systems Ltd : Phorest Germany,11010 Accounts Receivable : Trade Debtors,EUR,1.0,84.46,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),Germany,SEPASUCCESS,SEPA PAYMENT:DDI00148,2.0,2.0,pi_3SGdmqIdctIUMwHT2ty0fU6h,nan,nan,,eur,625.53,False
14/10/2025,8214,8214-DDI00284,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,96.89,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),SEPASUCCESS,SEPA PAYMENT:DDI00284,2.0,2.0,pi_3SGdgxIdctIUMwHT12ZvCByg,nan,nan,,eur,304.51,False
14/10/2025,33157,33157-DDI00121,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,109.06,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),SEPASUCCESS,SEPA PAYMENT:DDI00121,2.0,2.0,pi_3SGdxiIdctIUMwHT0cNTAZAx,nan,nan,,eur,486.18,False
14/10/2025,19744,19744-DDI00171,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,84.46,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD543AT01OC0E8BU1,2.0,2.0,ch_3SIASYIdctIUMwHT27KsPczL,nan,nan,,eur,230.58,False
14/10/2025,57202,57202-DDI00041,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,42.23,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),SEPASUCCESS,SEPA PAYMENT:DDI00041,2.0,2.0,pi_3SGeN9IdctIUMwHT1bHxQQmE,nan,nan,,eur,182.59,False
14/10/2025,56268,56268-DDI00049,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,97.03999999999999,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),SEPASUCCESS,SEPA PAYMENT:DDI00049,2.0,2.0,pi_3SGeMMIdctIUMwHT28GK1Rhi,nan,nan,,eur,320.51,False
14/10/2025,14178,14178-DDI00182,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,84.46,10010 Bank : BOI current a/c EUR # 17013705,Finland,CARDSUCCESS,DDCARD PAYMENT:MESDDD35P6QRH5ZSUW5Q6,2.0,2.0,ch_3SIBWRIdctIUMwHT17dn9MDw,nan,nan,,eur,323.46,False
