payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
14/10/2025,62493,62493-DDI00027,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,44.33,10010 Bank : BOI current a/c EUR # 17013705,,SEPASUCCESS,SEPA PAYMENT:DDI00027,,2.0,pi_3SGeRYIdctIUMwHT26zylm8L,CPMT: 62493-62493-DDI00027,CPMT: 62493-62493-DDI00027-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,31235,31235-DDI00120,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,48.44,10010 Bank : BOI current a/c EUR # 17013705,,SEPASUCCESS,SEPA PAYMENT:DDI00120,,2.0,pi_3SGdwAIdctIUMwHT0C1LwgPg,CPMT: 31235-31235-DDI00120,CPMT: 31235-31235-DDI00120-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,2058,2058-DDI00282,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,168.92,10010 Bank : BOI current a/c EUR # 17013705,,CARDSUCCESS,DDCARD PAYMENT:MESDDD9R9D399T13K7117,,2.0,ch_3SIASFIdctIUMwHT1qwWgO2q,CPMT: 2058-2058-DDI00282,CPMT: 2058-2058-DDI00282-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,9187,9187-DDI00204,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,96.89,10010 Bank : BOI current a/c EUR # 17013705,,CARDSUCCESS,DDCARD PAYMENT:MESDDD8JS3G5HBV6F0M6I,,2.0,ch_3SIASMIdctIUMwHT2u4nlk9B,CPMT: 9187-9187-DDI00204,CPMT: 9187-9187-DDI00204-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,56267,56267-DDI00045,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,48.52,10010 Bank : BOI current a/c EUR # 17013705,,SEPASUCCESS,SEPA PAYMENT:DDI00045,,2.0,pi_3SGeMKIdctIUMwHT1xP5iqlA,CPMT: 56267-56267-DDI00045,CPMT: 56267-56267-DDI00045-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,43083,43083-DDI00083,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,88.66,10010 Bank : BOI current a/c EUR # 17013705,,SEPASUCCESS,SEPA PAYMENT:DDI00083,,2.0,pi_3SGe66IdctIUMwHT2txOjD5M,CPMT: 43083-43083-DDI00083,CPMT: 43083-43083-DDI00083-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,39604,39604-DDI00099,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,48.48,10010 Bank : BOI current a/c EUR # 17013705,,SEPASUCCESS,SEPA PAYMENT:DDI00099,,2.0,pi_3SGe2WIdctIUMwHT136EW3TT,CPMT: 39604-39604-DDI00099,CPMT: 39604-39604-DDI00099-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,14372,14372-DDI00148,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,84.46,10010c Bank : Dummy Interco Bank Accounts : Interco - BOI current a/c Ä # 17013705 (Germany),,SEPASUCCESS,SEPA PAYMENT:DDI00148,,2.0,pi_3SGdmqIdctIUMwHT2ty0fU6h,CPMT: 14372-14372-DDI00148,CPMT: 14372-14372-DDI00148-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,8214,8214-DDI00284,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,96.89,10010 Bank : BOI current a/c EUR # 17013705,,SEPASUCCESS,SEPA PAYMENT:DDI00284,,2.0,pi_3SGdgxIdctIUMwHT12ZvCByg,CPMT: 8214-8214-DDI00284,CPMT: 8214-8214-DDI00284-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,33157,33157-DDI00121,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,109.06,10010 Bank : BOI current a/c EUR # 17013705,,SEPASUCCESS,SEPA PAYMENT:DDI00121,,2.0,pi_3SGdxiIdctIUMwHT0cNTAZAx,CPMT: 33157-33157-DDI00121,CPMT: 33157-33157-DDI00121-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,19744,19744-DDI00171,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,84.46,10010 Bank : BOI current a/c EUR # 17013705,,CARDSUCCESS,DDCARD PAYMENT:MESDDD543AT01OC0E8BU1,,2.0,ch_3SIASYIdctIUMwHT27KsPczL,CPMT: 19744-19744-DDI00171,CPMT: 19744-19744-DDI00171-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,57202,57202-DDI00041,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,42.23,10010 Bank : BOI current a/c EUR # 17013705,,SEPASUCCESS,SEPA PAYMENT:DDI00041,,2.0,pi_3SGeN9IdctIUMwHT1bHxQQmE,CPMT: 57202-57202-DDI00041,CPMT: 57202-57202-DDI00041-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,56268,56268-DDI00049,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,97.03999999999999,10010 Bank : BOI current a/c EUR # 17013705,,SEPASUCCESS,SEPA PAYMENT:DDI00049,,2.0,pi_3SGeMMIdctIUMwHT28GK1Rhi,CPMT: 56268-56268-DDI00049,CPMT: 56268-56268-DDI00049-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,14178,14178-DDI00182,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,84.46,10010 Bank : BOI current a/c EUR # 17013705,,CARDSUCCESS,DDCARD PAYMENT:MESDDD35P6QRH5ZSUW5Q6,,2.0,ch_3SIBWRIdctIUMwHT17dn9MDw,CPMT: 14178-14178-DDI00182,CPMT: 14178-14178-DDI00182-14/10/2025,STRIPE-TQB3LJJPOIL SP
22/09/2025,73018,73018-POA,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,109.0,10010 Bank : BOI current a/c EUR # 17013705,,MANUAL,CASHBOOK,,2.0,nan,CPMT: 73018-73018-POA,CPMT: 73018-73018-POA-22/09/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,48270,48270-DDI00068,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,0.0,10010 Bank : BOI current a/c EUR # 17013705,,SEPASUCCESS,SEPA PAYMENT:DDI00068,,2.0,pi_3SGeBBIdctIUMwHT133eBPAW,CPMT: 48270-48270-DDI00068,CPMT: 48270-48270-DDI00068-14/10/2025,STRIPE-TQB3LJJPOIL SP
14/10/2025,20222,20222-DDI00167,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,44.33,10010 Bank : BOI current a/c EUR # 17013705,,SEPASUCCESS,SEPA PAYMENT:DDI00167,,2.0,pi_3SGdplIdctIUMwHT2tSaF0sM,CPMT: 20222-20222-DDI00167,CPMT: 20222-20222-DDI00167-14/10/2025,STRIPE-TQB3LJJPOIL SP
