payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
04/10/2025,9581,9581-DDI00131,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,383.04,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SEaxLGNUfzD46Hm1HHuuFVF,CPMT: 9581-DDI00131,CPMT: 9581-DDI00131-04/10/2025,
08/10/2025,100687,100687-TBN00001,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,262.5,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SG50aGNUfzD46Hm0bQB3Jxl,CPMT: 100687-TBN00001,CPMT: 100687-TBN00001-08/10/2025,
10/10/2025,31470,31470-DDI00095,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,371.77,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SGfHHGNUfzD46Hm09Lezl7J,CPMT: 31470-DDI00095,CPMT: 31470-DDI00095-10/10/2025,
14/10/2025,58021,58021-DDI00017,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,249.23,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD7JF9NT14YZ68WOQ,2.0,,ch_3SI9ezGNUfzD46Hm0t7xt01y,CPMT: 58021-DDI00017,CPMT: 58021-DDI00017-14/10/2025,
14/10/2025,60078,60078-DDI00031,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,368.48,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD4ZK03Q35FO9O3TJ,2.0,,ch_3SI9g5GNUfzD46Hm0bgZzLsQ,CPMT: 60078-DDI00031,CPMT: 60078-DDI00031-14/10/2025,
14/10/2025,60077,60077-DDI00029,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,445.97,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD61Q9RI5849F29PR,2.0,,ch_3SI9g3GNUfzD46Hm0ku1KhN2,CPMT: 60077-DDI00029,CPMT: 60077-DDI00029-14/10/2025,
14/10/2025,60071,60071-DDI00032,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,480.7,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD921YJ5N46LU26P3,2.0,,ch_3SI9g0GNUfzD46Hm0NvVSklw,CPMT: 60071-DDI00032,CPMT: 60071-DDI00032-14/10/2025,
14/10/2025,60068,60068-DDI00032,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,133.28,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD2M1ILKOJUV308Y6,2.0,,ch_3SI9fyGNUfzD46Hm1ifyVKwx,CPMT: 60068-DDI00032,CPMT: 60068-DDI00032-14/10/2025,
14/10/2025,60067,60067-DDI00034,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,794.73,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD3ANG2G075AD2XSK,2.0,,ch_3SI9fwGNUfzD46Hm1QzeVOmi,CPMT: 60067-DDI00034,CPMT: 60067-DDI00034-14/10/2025,
14/10/2025,60029,60029-DDI00032,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,581.28,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD4H44043G0IT1351,2.0,,ch_3SI9ftGNUfzD46Hm11sXByt0,CPMT: 60029-DDI00032,CPMT: 60029-DDI00032-14/10/2025,
14/10/2025,60009,60009-DDI00032,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,368.61,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDDMAO33S433ZHUZ2D,2.0,,ch_3SI9frGNUfzD46Hm1JT1ubJv,CPMT: 60009-DDI00032,CPMT: 60009-DDI00032-14/10/2025,
14/10/2025,60008,60008-DDI00036,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,387.39,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDDQ9XYM3651W60790,2.0,,ch_3SI9fpGNUfzD46Hm0SUvbGVD,CPMT: 60008-DDI00036,CPMT: 60008-DDI00036-14/10/2025,
14/10/2025,59890,59890-DDI00016,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,371.77,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDDEE5J28EGU832I8O,2.0,,ch_3SI9fmGNUfzD46Hm1AAUhwyI,CPMT: 59890-DDI00016,CPMT: 59890-DDI00016-14/10/2025,
14/10/2025,59778,59778-DDI00037,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,368.48,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDDGII5KJP4OMOZ7PI,2.0,,ch_3SI9fkGNUfzD46Hm1O3Gq0X2,CPMT: 59778-DDI00037,CPMT: 59778-DDI00037-14/10/2025,
14/10/2025,59721,59721-DDI00032,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,245.32,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD0T8Y79MMP3O19C3,2.0,,ch_3SI9fiGNUfzD46Hm0l2yk0pX,CPMT: 59721-DDI00032,CPMT: 59721-DDI00032-14/10/2025,
14/10/2025,59494,59494-DDI00034,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,134.47,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD78686D9O6Z4A2CN,2.0,,ch_3SI9fdGNUfzD46Hm1vhgoJ47,CPMT: 59494-DDI00034,CPMT: 59494-DDI00034-14/10/2025,
14/10/2025,59261,59261-DDI00019,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,371.77,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDDIEYEJ46Y42S6BE4,2.0,,ch_3SI9fbGNUfzD46Hm0drcECtC,CPMT: 59261-DDI00019,CPMT: 59261-DDI00019-14/10/2025,
14/10/2025,59157,59157-DDI00034,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,371.77,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD194D1A0Z41ZMLYO,2.0,,ch_3SI9fWGNUfzD46Hm0pUjGTmQ,CPMT: 59157-DDI00034,CPMT: 59157-DDI00034-14/10/2025,
14/10/2025,59156,59156-DDI00034,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,368.48,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD644H6944W614375,2.0,,ch_3SI9fUGNUfzD46Hm0WGfxpTJ,CPMT: 59156-DDI00034,CPMT: 59156-DDI00034-14/10/2025,
14/10/2025,59099,59099-DDI00036,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,394.37,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDDN82G19BZ1F8WEXV,2.0,,ch_3SI9fRGNUfzD46Hm1bKDKif9,CPMT: 59099-DDI00036,CPMT: 59099-DDI00036-14/10/2025,
14/10/2025,58951,58951-DDI00019,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,554.4,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD90V6CNT5C156T02,2.0,,ch_3SI9fPGNUfzD46Hm0sJtRbRN,CPMT: 58951-DDI00019,CPMT: 58951-DDI00019-14/10/2025,
14/10/2025,58867,58867-DDI00034,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,586.47,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD6JI69K5250JM107,2.0,,ch_3SI9fNGNUfzD46Hm029feav1,CPMT: 58867-DDI00034,CPMT: 58867-DDI00034-14/10/2025,
14/10/2025,58851,58851-DDI00039,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,229.95,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDD99A5HYN1B309TX9,2.0,,ch_3SI9fKGNUfzD46Hm1jdi9aqk,CPMT: 58851-DDI00039,CPMT: 58851-DDI00039-14/10/2025,
14/10/2025,58620,58620-DDI00037,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,367.51,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDDFHUG9KTQ4153A89,2.0,,ch_3SI9fIGNUfzD46Hm1HpypDDK,CPMT: 58620-DDI00037,CPMT: 58620-DDI00037-14/10/2025,
14/10/2025,58390,58390-DDI00033,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,479.36,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDDUS6Q9ECEH26KRRA,2.0,,ch_3SI9fGGNUfzD46Hm0U25LI8N,CPMT: 58390-DDI00033,CPMT: 58390-DDI00033-14/10/2025,
14/10/2025,58291,58291-DDI00039,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,294.84,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDDI2390T6K1423785,2.0,,ch_3SI9fDGNUfzD46Hm0Of3V6LW,CPMT: 58291-DDI00039,CPMT: 58291-DDI00039-14/10/2025,
14/10/2025,58245,58245-DDI00029,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,623.7,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDDH2RAD89C929487C,2.0,,ch_3SI9fBGNUfzD46Hm1WLTWcdl,CPMT: 58245-DDI00029,CPMT: 58245-DDI00029-14/10/2025,
14/10/2025,58081,58081-DDI00036,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1.0,249.66,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,DDCARD PAYMENT:MESDDDM0L32BJ02J0J0YP,2.0,,ch_3SI9f6GNUfzD46Hm1ZWDrD2W,CPMT: 58081-DDI00036,CPMT: 58081-DDI00036-14/10/2025,
