payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
23/09/2025,82066,82066-POA,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,284.28,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,,2.0,nan,CPMT: 82066-POA,CPMT: 82066-POA-23/09/2025,
01/10/2025,9647,9647-POA,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,680.4,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SDQjFIdctIUMwHT1ckK3Gq0,CPMT: 9647-POA,CPMT: 9647-POA-01/10/2025,
01/10/2025,35539,35539-POA,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,392.15,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SDRbaIdctIUMwHT1guvUsRA,CPMT: 35539-POA,CPMT: 35539-POA-01/10/2025,
02/10/2025,38335,38335-POA,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,100.0,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Payment on account,2.0,,ch_3SDnytIdctIUMwHT0AGzR9FN,CPMT: 38335-POA,CPMT: 38335-POA-02/10/2025,
02/10/2025,35536,35536-POA,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,437.41,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SDlKZIdctIUMwHT2xA3EBMX,CPMT: 35536-POA,CPMT: 35536-POA-02/10/2025,
02/10/2025,77424,77424-POA,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,400.0,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Payment on account,2.0,,nan,CPMT: 77424-POA,CPMT: 77424-POA-02/10/2025,
03/10/2025,8833,8833-POA,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,167.29,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Payment on account,2.0,,ch_3SECBdIdctIUMwHT1DzitniD,CPMT: 8833-POA,CPMT: 8833-POA-03/10/2025,
03/10/2025,22441,22441-POA,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,134.3,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,2.0,,nan,CPMT: 22441-POA,CPMT: 22441-POA-03/10/2025,
10/10/2025,58741,58741-POA,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,502.57,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SGiEwIdctIUMwHT0JSsDlOA,CPMT: 58741-POA,CPMT: 58741-POA-10/10/2025,
13/10/2025,8833,8833-POA,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,105.15,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Payment on account,2.0,,ch_3SHl0eIdctIUMwHT1uyrZTb7,CPMT: 8833-POA,CPMT: 8833-POA-13/10/2025,
14/10/2025,7897,7897-POA,Ndevor Systems Ltd : Phorest Ireland : Phorest UK,11010 Accounts Receivable : Trade Debtors,GBP,1.0,11.26,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,DDCARD PAYMENT:MESDDD12W5117FM9GCRU1,2.0,,ch_3SIAraIdctIUMwHT23ZPAIm6,CPMT: 7897-POA,CPMT: 7897-POA-14/10/2025,
