payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
14/10/2025,10902,10902-DDI00151 - Summit,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,GBP,1.0,39.24,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,DDCARD PAYMENT:MESDDD95J8PO66SE4O079,2.0,,ch_3SIAo8IdctIUMwHT07kN9QYy,CPMT: 10902-10902-DDI00151 - Summit-Summit,CPMT: 10902-10902-DDI00151 - Summit-14/10/2025-Summit,1345
14/10/2025,55629,55629-DDI00051 - Summit,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,GBP,1.0,281.78,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,DDCARD PAYMENT:MESDDDSCHBD9EZ6ZWCE11,2.0,,ch_3SIAofIdctIUMwHT1tD6e2Rn,CPMT: 55629-55629-DDI00051 - Summit-Summit,CPMT: 55629-55629-DDI00051 - Summit-14/10/2025-Summit,1345
14/10/2025,56424,56424-DDI00047 - Summit,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,GBP,1.0,71.07,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,DDCARD PAYMENT:MESDDD90PWE163S77B903,2.0,,ch_3SIAokIdctIUMwHT1ARpOkkU,CPMT: 56424-56424-DDI00047 - Summit-Summit,CPMT: 56424-56424-DDI00047 - Summit-14/10/2025-Summit,1345
18/10/2025,29321,29321-DDI00114 - Summit,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,GBP,1.0,211.88,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,DDCARD PAYMENT:MES106617818901491682,2.0,,ch_3SJWKQIdctIUMwHT0ZYhXEOT,CPMT: 29321-29321-DDI00114 - Summit-Summit,CPMT: 29321-29321-DDI00114 - Summit-18/10/2025-Summit,1345
14/10/2025,11119,11119-DDI00157 - Summit,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,GBP,1.0,106.6,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,DDCARD PAYMENT:MESDDDKU1291C70378D30,2.0,,ch_3SIAoBIdctIUMwHT1qe2kfdp,CPMT: 11119-11119-DDI00157 - Summit-Summit,CPMT: 11119-11119-DDI00157 - Summit-14/10/2025-Summit,1345
16/10/2025,32465,32465-DDI00128 - Summit,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,GBP,1.0,78.44,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,DDCARD PAYMENT:MES588072929446085096,2.0,,ch_3SInAjIdctIUMwHT1sTO4FG8,CPMT: 32465-32465-DDI00128 - Summit-Summit,CPMT: 32465-32465-DDI00128 - Summit-16/10/2025-Summit,1345
14/10/2025,26095,26095-DDI00133 - Summit,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,GBP,1.0,94.23,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,DDCARD PAYMENT:MESDDDKW8689K6FJ24PN2,2.0,,ch_3SIAoPIdctIUMwHT0bQJY5Xc,CPMT: 26095-26095-DDI00133 - Summit-Summit,CPMT: 26095-26095-DDI00133 - Summit-14/10/2025-Summit,1345
14/10/2025,11693,11693-DDI00157 - Summit,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,GBP,1.0,267.53,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,DDCARD PAYMENT:MESDDD8GPO6ONUK22WVD2,2.0,,ch_3SIAoFIdctIUMwHT1TuQem22,CPMT: 11693-11693-DDI00157 - Summit-Summit,CPMT: 11693-11693-DDI00157 - Summit-14/10/2025-Summit,1345
16/10/2025,47816,47816-POA - Summit,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,GBP,1.0,133.76,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,CARD PAYMENT : Payment on account,2.0,,ch_3SIlQbIdctIUMwHT0IU6Xw02,CPMT: 47816-47816-POA - Summit-Summit,CPMT: 47816-47816-POA - Summit-16/10/2025-Summit,1345
14/10/2025,19289,19289-DDI00148 - Summit,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,GBP,1.0,71.07,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,DDCARD PAYMENT:MESDDD93N1PA78NA1F3MZ,2.0,,ch_3SIAoMIdctIUMwHT1a1FPEK4,CPMT: 19289-19289-DDI00148 - Summit-Summit,CPMT: 19289-19289-DDI00148 - Summit-14/10/2025-Summit,1345
14/10/2025,58785,58785-DDI00038 - Summit,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,GBP,1.0,35.53,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,DDCARD PAYMENT:MESDDD5QWCV5UX77N7ZH5,2.0,,ch_3SIAopIdctIUMwHT0kl6kqsL,CPMT: 58785-58785-DDI00038 - Summit-Summit,CPMT: 58785-58785-DDI00038 - Summit-14/10/2025-Summit,1345
14/10/2025,74178,74178-DDI00018 - Summit,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,GBP,1.0,88.25,10020 Bank : BOI current a/c GBP # 62100285,United Kingdom(Mainland),CARDSUCCESS,DDCARD PAYMENT:MESDDDEUVQ3PNH938F7WB,2.0,,ch_3SIAowIdctIUMwHT0Tx1Fj9E,CPMT: 74178-74178-DDI00018 - Summit-Summit,CPMT: 74178-74178-DDI00018 - Summit-14/10/2025-Summit,1345
